id,form,meaning,type,etymology
9362,馔,"food; delicacies",pictophonetic,"food"
9363,膳,"variant of 膳[shan4]",pictophonetic,"meat"
9364,饥,"variant of 飢|饥[ji1]",pictophonetic,"food"
9365,饶,"surname Rao",pictophonetic,"food"
9366,饶,"rich; abundant; exuberant; to add for free; to throw in as bonus; to spare; to forgive; despite; although",pictophonetic,"food"
9367,饔,"(literary) cooked food; breakfast",pictophonetic,"food"
9368,饕,"(literary) greedy; gluttonous",pictophonetic,"eat"
9369,飨,"(literary) to offer food and drinks; to entertain",pictophonetic,"food"
9370,餍,"to eat to the full",pictophonetic,"eat"
9371,馍,"variant of 饃|馍[mo2]",pictophonetic,"food"
9372,馋,"gluttonous; greedy; to have a craving",pictophonetic,"eat"
9373,饷,"variant of 餉|饷[xiang3]",pictophonetic,"food"
9374,馕,"a kind of a flat bread",pictophonetic,"food"
9375,馕,"to stuff one's face; to eat greedily",pictophonetic,"food"
9376,首,"head; chief; first (occasion, thing etc); classifier for poems, songs etc",ideographic,"A deer's head 自 adorned with antlers 丷"
9377,馗,"cheekbone; crossroads; high",pictophonetic,"head"
9378,馘,"(literary) to cut off the left ear of a slain enemy; the severed ear of a slain enemy",ideographic,"To cut off 或 the enemy's ears 首; 或 also provides the pronunciation"
9379,香,"fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]",ideographic,"A herb 禾 with a sweet 甘 smell"
9380,馥,"fragrance; scent; aroma",pictophonetic,"fragrant"
9381,馨,"fragrant",pictophonetic,"incense"
9382,马,"surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3lai2xi1ya4]",pictographic,"Simplified form of 馬, a horse galloping to the left"
9383,马,"horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess",pictographic,"Simplified form of 馬, a horse galloping to the left"
9384,驭,"variant of 御[yu4]; to drive; to manage; to control",pictophonetic,"horse"
9385,冯,"surname Feng",pictophonetic,"horse"
9386,冯,"to gallop; to assist; to attack; to wade; great; old variant of 憑|凭[ping2]",pictophonetic,"horse"
9387,驮,"load carried by a pack animal",pictophonetic,"horse"
9388,驮,"to carry on one's back",pictophonetic,"horse"
9389,驰,"to run fast; to speed; to gallop; to disseminate; to spread",pictophonetic,"horse"
9390,驯,"to attain gradually; to tame; Taiwan pr. [xun2]",pictophonetic,"horse"
9391,驴,"variant of 驢|驴[lu:2]",pictophonetic,"horse"
9392,驳,"variegated; heterogeneous; to refute; to contradict; to ship by barge; a barge; a lighter (ship)",pictophonetic,"horse"
9393,驱,"old variant of 驅|驱[qu1]",pictophonetic,"horse"
9394,驻,"to halt; to stay; to be stationed (of troops, diplomats etc)",pictophonetic,"horse"
9395,驽,"(literary) inferior horse",pictophonetic,"horse"
9396,驹,"colt",pictophonetic,"horse"
9397,驵,"powerful horse",pictophonetic,"horse"
9398,驾,"surname Jia",pictophonetic,"horse"
9399,驾,"to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辭|敬辞[jing4 ci2])",pictophonetic,"horse"
9400,骀,"tired; worn out horse",pictophonetic,"horse"
9401,驸,"prince consort",pictophonetic,"horse"
9402,驶,"(of a vehicle, horse etc) to go fast; to speed; (of a vehicle) to run; to go; (of a boat) to sail",pictophonetic,"horse"
9403,驼,"hump or hunchbacked; camel",pictophonetic,"horse"
9404,驼,"variant of 駝|驼[tuo2]",pictophonetic,"horse"
9405,驷,"team of 4 horses",ideographic,"Four 四 horses 马; 四 also provides the pronunciation"
9406,骂,"variant of 罵|骂[ma4]",pictophonetic,"mouth"
9407,骈,"surname Pian",ideographic,"A team of horses 马 working together 并"
9408,骈,"(of a pair of horses) to pull side by side; to be side by side; to be fused together; parallel (literary style)",ideographic,"A team of horses 马 working together 并"
9409,骇,"to astonish; to startle; to hack (computing, loanword)",pictophonetic,"horse"
9410,驳,"variant of 駁|驳[bo2]",pictophonetic,"horse"
9411,骆,"surname Luo",pictophonetic,"horse"
9412,骆,"camel; white horse with a black mane (archaic)",pictophonetic,"horse"
9413,骏,"spirited horse",pictophonetic,"horse"
9414,骋,"to hasten; to run; to open up; to gallop",pictophonetic,"horse"
9415,骓,"surname Zhui",pictophonetic,"horse"
9416,骓,"(literary) piebald horse",pictophonetic,"horse"
9417,骒,"(bound form) (of a horse, mule, camel etc) female",pictophonetic,"horse"
9418,骑,"(Tw) saddle horse; mounted soldier",pictophonetic,"horse"
9419,骑,"to sit astride; to ride (a horse, bike etc); classifier for saddle horses",pictophonetic,"horse"
9420,骐,"piebald horse; used for 麒[qi2], mythical unicorn",pictophonetic,"horse"
9421,验,"variant of 驗|验[yan4]",pictophonetic,"horse"
9422,骛,"(bound form) to rush about; to strive for",ideographic,"A horse 马 working hard 敄; 敄 also provides the pronunciation"
9423,骗,"to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over",pictophonetic,"horse"
9424,鬃,"variant of 鬃[zong1]",pictophonetic,"hair"
9425,骞,"(literary) to hold high",ideographic,"A soldier 宀 mounting a horse 马"
9426,骘,"a stallion; to rise; to arrange; to stabilize; to differentiate; to judge",ideographic,"To climb 陟 on a horse 马; 陟 also provides the pronunciation"
9427,骝,"bay horse with black mane",pictophonetic,"horse"
9428,腾,"(bound form) to gallop; to prance; (bound form) to soar; to hover; to make room; to clear out; to vacate; (verb suffix indicating repeated action)",pictophonetic,"horse"
9429,驺,"surname Zou",pictophonetic,"horse"
9430,驺,"groom or chariot driver employed by a noble (old)",pictophonetic,"horse"
9431,骚,"(bound form) to disturb; to disrupt; flirty; coquettish; abbr. for 離騷|离骚[Li2 Sao1]; (literary) literary writings; poetry; foul-smelling (variant of 臊[sao1]); (dialect) (of certain domestic animals) male",ideographic,"A flea 蚤 biting a horse 马; 蚤 also provides the pronunciation"
9432,骟,"to geld",pictophonetic,"horse"
9433,骡,"mule; CL:匹[pi3],頭|头[tou2]",pictophonetic,"horse"
9434,蓦,"leap on or over; suddenly",pictophonetic,"horse"
9435,骜,"a noble steed (literary); (of a horse) untamed; (fig.) (of a person) headstrong; Taiwan pr. [ao2]",ideographic,"A rambling 敖 horse 马; 敖 also provides the pronunciation"
9436,骖,"outside horses of a team of 4",pictophonetic,"horse"
9437,骠,"white horse",pictophonetic,"horse"
9438,骢,"buckskin horse",pictophonetic,"horse"
9439,驱,"to expel; to urge on; to drive; to run quickly",pictophonetic,"horse"
9440,骅,"chestnut horse",pictophonetic,"horse"
9441,骕,"used in 驌驦|骕骦[su4 shuang1]",pictophonetic,"horse"
9442,骁,"good horse; valiant",pictophonetic,"horse"
9443,骣,"(literary) to ride a horse without a saddle",pictophonetic,"horse"
9444,骄,"proud; arrogant",ideographic,"A proud 乔 horse 马; 乔 also provides the pronunciation"
9445,验,"to examine; to test; to check",pictophonetic,"horse"
9446,骡,"variant of 騾|骡[luo2]",pictophonetic,"horse"
9447,惊,"to startle; to be frightened; to be scared; alarm",pictophonetic,"heart"
9448,驿,"post horse; relay station",pictophonetic,"horse"
9449,骤,"sudden; unexpected; abrupt; suddenly; Taiwan pr. [zou4]",pictophonetic,"horse"
9450,驴,"donkey; CL:頭|头[tou2]",pictophonetic,"horse"
9451,骧,"(literary) to run friskily (of a horse); to raise; to hold high",pictophonetic,"horse"
9452,骥,"thoroughbred horse; refined and virtuous",pictophonetic,"horse"
9453,骦,"used in 驌驦|骕骦[su4 shuang1]",pictophonetic,"horse"
9454,欢,"a breed of horse; variant of 歡|欢[huan1]",,
9455,骊,"black horse; jet steed; good horse; legendary black dragon",pictophonetic,"horse"
9456,骨,"bone",ideographic,"Flesh ⺼ and bones 冎"
9457,肮,"dirty; filthy",pictophonetic,"meat"
9458,骰,"dice",ideographic,"Tools 殳 made of bone 骨"
9459,骱,"joint of bones",ideographic,"A bony 骨 joint 介; 介 also provides the pronunciation"
9460,骶,"(bound form) sacrum",pictophonetic,"bone"
9461,骷,"used in 骷髏|骷髅[ku1lou2]",pictophonetic,"bone"
9462,骸,"bones of the body",pictophonetic,"bone"
9463,骺,"(anatomy) epiphysis",ideographic,"The end 后 of a bone 骨; 后 also provides the pronunciation"
9464,骼,"skeleton",pictophonetic,"bone"
9465,腿,"hip bone; old variant of 腿[tui3]",ideographic,"Flesh ⺼ used to walk 退; 退 also provides the pronunciation"
9466,鲠,"to choke on a piece of food",pictophonetic,"fish"
9467,髀,"buttocks; thigh",ideographic,"A low 卑 bone 骨; 卑 also provides the pronunciation"
9468,髁,"condyles",pictophonetic,"bone"
9469,髂,"ilium; outermost bone of the pelvic girdle; Taiwan pr. [ka4]",pictophonetic,"bone"
9470,膀,"old variant of 膀[bang3]",ideographic,"Flesh ⺼ beside 旁 the body; 旁 also provides the pronunciation"
9471,髅,"used in 髑髏|髑髅[du2lou2]; used in 骷髏|骷髅[ku1lou2]",pictophonetic,"bone"
9472,髑,"used in 髑髏|髑髅[du2lou2]",pictophonetic,"bone"
9473,脏,"dirty; filthy; to get (sth) dirty",pictophonetic,"flesh"
9474,髓,"(bound form) bone marrow; (fig.) innermost part; (botany) pith",pictophonetic,"bone"
9475,体,"body; form; style; system; substance; to experience; aspect (linguistics)",,
9476,髌,"kneecapping; to cut or smash the kneecaps as corporal punishment",pictophonetic,"bone"
9477,髋,"pelvis; pelvic",pictophonetic,"bone"
9478,高,"surname Gao",pictographic,"A tall palace"
9479,高,"high; tall; above average; loud; your (honorific)",pictographic,"A tall palace"
9480,髟,"hair; shaggy",ideographic,"Long 镸 hair 彡"
9481,髡,"scalping; to make the head bald (as corporal punishment)",pictophonetic,"shave"
9482,髯,"old variant of 髯[ran2]",pictophonetic,"hair"
9483,髦,"bang (hair); fashionable; mane",pictophonetic,"hair"
9484,髫,"(literary) hair hanging down in front (children's hairstyle)",pictophonetic,"hair"
9485,髭,"mustache",pictophonetic,"hair"
9486,发,"hair; Taiwan pr. [fa3]",,
9487,髯,"beard; whiskers",pictophonetic,"hair"
9488,佛,"(female) head ornament; variant of 彿|佛[fu2]",pictophonetic,"person"
9489,髹,"red lacquer; to lacquer",pictophonetic,"hair"
9490,髻,"hair rolled up in a bun, topknot",pictophonetic,"hair"
9491,剃,"variant of 剃[ti4]",pictophonetic,"knife"
9492,鬃,"bristles; horse's mane",pictophonetic,"hair"
9493,鬄,"wig; Taiwan pr. [ti4]",ideographic,"To exchange 易 hair 髟; 易 also provides the pronunciation"
9494,鬄,"old variant of 剃[ti4]",ideographic,"To exchange 易 hair 髟; 易 also provides the pronunciation"
9495,松,"loose; to loosen; to relax; floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)",pictophonetic,"tree"
9496,鬈,"to curl; curled",ideographic,"Curled 卷 hair 髟; 卷 also provides the pronunciation"
9497,鬃,"disheveled hair; horse's mane",pictophonetic,"hair"
9498,胡,"beard; mustache; whiskers",pictophonetic,"meat"
9499,鬏,"bun (of hair)",pictophonetic,"hair"
9500,鬒,"bushy black hair",pictophonetic,"hair"
9501,须,"beard; mustache; feeler (of an insect etc); tassel",ideographic,"Hair 彡 growing on the face 页"
9502,鬟,"a knot of hair on top of head",ideographic,"A round 睘 topknot 髟; 睘 also provides the pronunciation"
9503,鬓,"temples; hair on the temples",pictophonetic,"hair"
9504,鬣,"bristles; mane",ideographic,"Whiskers 巤 of hair 髟; 巤 also provides the pronunciation"
9505,斗,"to fight; to struggle; to condemn; to censure; to contend; to put together; coming together",ideographic,"A hand holding a measuring dipper"
9506,斗,"variant of 鬭|斗[dou4]",ideographic,"A hand holding a measuring dipper"
9507,闹,"noisy; cacophonous; to make noise; to disturb; to vent (feelings); to fall ill; to have an attack (of sickness); to go in (for some activity); to joke",ideographic,"As busy as the market 市 gate 门"
9508,哄,"tumult; uproar; commotion; disturbance",pictophonetic,"mouth"
9509,阋,"to argue; to quarrel",pictophonetic,"fight"
9510,斗,"variant of 鬥|斗[dou4]",ideographic,"A hand holding a measuring dipper"
9511,斗,"variant of 鬥|斗[dou4]",ideographic,"A hand holding a measuring dipper"
9512,阄,"lots (to be drawn); lot (in a game of chance)",,
9513,鬯,"a kind of sacrificial wine used in ancient times",,
9514,郁,"old variant of 鬱|郁[yu4]",pictophonetic,"city"
9515,郁,"surname Yu",pictophonetic,"city"
9516,郁,"(bound form) (of vegetation) lush; luxuriant; (bound form) melancholy; depressed",pictophonetic,"city"
9517,鬲,"surname Ge",pictographic,"A cauldron 口 with three legs 冂丷"
9518,鬲,"earthen pot; iron cauldron",pictographic,"A cauldron 口 with three legs 冂丷"
9519,鬲,"ancient ceramic three-legged vessel used for cooking with cord markings on the outside and hollow legs",pictographic,"A cauldron 口 with three legs 冂丷"
9520,鬻,"to sell, esp. in strained circumstances",ideographic,"To sell porridge 粥 steaming in a pot 鬲"
9521,鬼,"disembodied spirit; ghost; devil; (suffix) person with a certain vice or addiction etc; sly; crafty; resourceful (variant of 詭|诡[gui3]); one of the 28 constellations of ancient Chinese astronomy",pictographic,"A ghost with a scary face"
9522,魁,"chief; head; outstanding; exceptional; stalwart",ideographic,"One who fought 斗 a ghost 鬼; 鬼 also provides the pronunciation"
9523,魂,"soul; spirit; immortal soul (that can be detached from the body)",pictophonetic,"spirit"
9524,魃,"drought demon",pictophonetic,"demon"
9525,魄,"soul; mortal soul (i.e. attached to the body)",pictophonetic,"spirit"
9526,魅,"demon; magic; to charm",ideographic,"A forest 未 demon 鬼; 未 also provides the pronunciation"
9527,魆,"dim; dark; sudden; surreptitious; Taiwan pr. [xu4]",pictophonetic,"demon"
9528,魈,"used in 山魈[shan1 xiao1]",pictophonetic,"demon"
9529,魍,"used in 魍魎|魍魉[wang3liang3]",pictophonetic,"demon"
9530,魉,"used in 魍魎|魍魉[wang3liang3]",pictophonetic,"ghost"
9531,魏,"surname Wei; name of a vassal state of the Zhou dynasty from 661 BC in Shanxi, one of the Seven Hero Warring States; Wei state, founded by Cao Cao 曹操[Cao2 Cao1], one of the Three Kingdoms after the Han dynasty; the Wei dynasty 221-265; Wei Prefecture or Wei County at various times in history",pictophonetic,"ghost"
9532,魏,"tower over a palace gateway (old)",pictophonetic,"ghost"
9533,魑,"used in 魑魅[chi1mei4]",pictophonetic,"demon"
9534,魔,"(bound form) evil spirit; devil; (prefix) supernatural; magical",pictophonetic,"demon"
9535,魖,"used in 黑魖魖[hei1 xu1 xu1]",pictophonetic,"black"
9536,魇,"to have a nightmare",pictophonetic,"ghost"
9537,鱼,"surname Yu",pictographic,"A fish swimming upwards"
9538,鱼,"fish; CL:條|条[tiao2],尾[wei3]",pictographic,"A fish swimming upwards"
9539,魠,"used in 土魠魚|土魠鱼[tu3 tuo1 yu2]",pictophonetic,"fish"
9540,鲁,"surname Lu; Lu, an ancient state of China 魯國|鲁国[Lu3guo2]; Lu, short name for Shandong 山東|山东[Shan1dong1]",ideographic,"To talk 日 like a fish 鱼"
9541,鲁,"(bound form) crass; stupid; rude; (used to represent the sounds of ""ru"", ""lu"" etc in loanwords)",ideographic,"To talk 日 like a fish 鱼"
9542,鲂,"bream; Zeus japanicus",pictophonetic,"fish"
9543,鱿,"cuttlefish",pictophonetic,"fish"
9544,鲅,"(bound form) Spanish mackerel",pictophonetic,"fish"
9545,鲆,"family of flatfish; sole",pictophonetic,"fish"
9546,鲧,"variant of 鯀|鲧[Gun3]",pictophonetic,"fish"
9547,鲇,"sheatfish (Parasilurus asotus); oriental catfish; see also 鯰|鲶[nian2]",pictophonetic,"fish"
9548,鲐,"mackerel; Pacific mackerel (Pneumatophorus japonicus)",pictophonetic,"fish"
9549,鲍,"surname Bao",pictophonetic,"fish"
9550,鲍,"abalone",pictophonetic,"fish"
9551,鲋,"silver carp",pictophonetic,"fish"
9552,鲒,"oyster",pictophonetic,"fish"
9553,鲕,"caviar; fish roe",pictophonetic,"fish"
9554,鮨,"sushi; grouper (Portuguese: garoupa); Epinephelus septemfasciatus",pictophonetic,"fish"
9555,鲔,"little tuna; Euthynnus alletteratus",pictophonetic,"fish"
9556,鲛,"(bound form) shark",pictophonetic,"fish"
9557,鲑,"trout; salmon",pictophonetic,"fish"
9558,鲜,"fresh; bright (in color); delicious; tasty; delicacy; aquatic foods",pictophonetic,"fish"
9559,鲜,"few; rare",pictophonetic,"fish"
9560,鲧,"Gun, mythical father of Yu the Great 大禹[Da4 Yu3]",pictophonetic,"fish"
9561,鲠,"to choke on a piece of food; (literary) a fish bone lodged in one's throat",pictophonetic,"fish"
9562,鲩,"grass carp",pictophonetic,"fish"
9563,鲤,"carp",pictophonetic,"fish"
9564,鲨,"shark",pictophonetic,"fish"
9565,鲻,"mullet",pictophonetic,"fish"
9566,鲯,"mahi-mahi (Coryphaena hippurus); dorado",pictophonetic,"fish"
9567,鲭,"mackerel",pictophonetic,"fish"
9568,鲭,"(literary) boiled stew of fish and meat",pictophonetic,"fish"
9569,鲞,"dried fish",pictophonetic,"fish"
9570,鲷,"porgy; pagrus major",pictophonetic,"fish"
9571,鲴,"Xenocypris, genus of cyprinid fish found in eastern Asia",pictophonetic,"fish"
